full_text;username;label
Trump 2024: Are We Ready for His Vision? #Trump2024 #Politics #BKPPolitics #Campaign2024 #AmericanDream #Optimism #PoliticalDiscussion #VoiceOfRuralAmerica #FutureOfAmerica #ElectionInsights https://t.co/U5upG7GaGG;VoiceofRuralAm;
@CollinRugg Roy is anti-Trump so his motives alas are suspect. What with no chance of defeating god-awful Johnson is their end game? Just stop.;NCCoastfan2;
@TRUMP_ARMY_ It speaks of seasons changing in the bible;Karen59561418;
Calif. Dems Beg Buttigieg to Save High-Speed Rail Boondoggle From DOGE and Trump Dump Money on Project via @WestJournalism https://t.co/G4aeVDPxjU This guy has been a JOKE from the beginning!;diane_cossin;
@RottenApples4u @GuntherEagleman @realDonaldTrump This is fact. Until Trump denounces this H1B bullshit i hope he gets stonewalled;warmachineofgod;
I will answer all questions once Trump is in the WH by not before.;DGOstaro;
@DonaldJTrumpJr Please Stop Elon! Only you can do it! #MAGA #Trump https://t.co/BRrUsNC8mb;Vulpes47899277;
@akafacehots Hope Trump legislates this law. Defacing or burning the flag should be a felony.;Michael75761724;
@aaronjmate Well in 3 weeks Trump can and should un-redact the entire thing;D4YM4N;
@EricLDaugh Take out the illegal votes in the states California New York Michigan... 65% for Trump;s_ardiel;
@politvidchannel MORE Party 1st WAR Games at Expense of WE the Taxpayer American Citizens. This Type of Legislation IS Reason Trump Was Elected in 2026. A WARNING to Elite Political Class That THEY IGNORED &amp;;
@QPATRIOTMLO1 Awww how lovely. She got here in the nick of time! Congratulations!;TrumpTrump1111;
@FoxNews He (they) are doing everything they can think of to sabotage Trump's Presidency.;lazlo_steve;
@MASKEDMANIACXXX No. Never watching anything he makes. Can't forget him talking about wanting trump killed;DanielSchi91538;
@TaraBull808 For now yes Trust Trump s judgement;KANS449707;
@allenanalysis According to president non elect musk &amp;;
@DefiyantlyFree It's just passion. Not poison They have destroyed any trust in polling So WE have no one to keep score Nobody is leading in here and Trump is not making a case. Who do you nominate;Cecelia78932677;
@petrock20 @bmaisch18 @Riley_Gaines_ @catturd2 Here's how tRump was responsible for 400k deaths. https://t.co/xuZhVy7LLj;parrotpati;
@TuckerCNews As I understand it she did exactly what she's accused Trump of...let God deal with her;miketildeath;
@suchnerve @Sembe_1312 My observation is that Trump tried to downplay the approach of Covid it was obviously huge and he absolved himself of blame by never acknowledging it seriously. Demonize Fauci ridicule people who take it seriously (mask wearers). Ma;Mfusion66;
@elonmusk Do not forget about the 150000 frogs who were suspended for supporting Trump (And thank you for helping save the free world) https://t.co/TkmkVF0tAY;Rush__17;
@gwenssmith @gatewaypundit Exactly!!!!!!!! We didn't vote for that Mr Trump!!!!;JodiHes54318635;
@BreitbartNews The despise her.;TheTrump4547;
Massive spending by the Trump administration further fueled by the unlimited money pit that we call Congress will save the United States by changing our currency to digital currency. But it will just add more unsustainable debt to our economy and kick the can down the road.;randysult;
@DerrickEvans4WV Damn it why did President Trump pull people from the house and the Senate to be his nominees we needed those people there OMG why did he do that??;ohworriesme;
@DefiyantlyFree Man I hope they finally primary this dude. All he does is to show boat. He was a Desantis Supporter so now he will give Trump problems;insanethrottle;
. impersonating pres. trump is a hobby in china. .;opAZ01;
@TRUMP_ARMY_ Absolutely;AlphadogKing;
@clantro @pfm724 @EricLDaugh So I worked in the political field for a decade. I ve been out of it as long. Asked some friends on it for their perspective. Musk has made big enemies. He is forever gone from the left and he has wrecked a LOT on the right li;HistorianUSA1;
@DanielOnTheGo_ @ElonClipsX Don t be fooled by LEON!!! LEON and Trump no nothing about fairness!;SamMorgad16030;
@pax42000 @EdKrassen @ArthurSchwartz @realDonaldTrump His post says undocumented. Ed never said trump was putting the opposition into camps UNDOCUMENTED;PachecAdams;
@HenderGren @ItsTheHousing @TimLukeAnderson @MomAngtrades I was talking about why Trump failed to deliver on his promises. You ll find a way to blame Biden.;TruuP8triot;
Stacey Abrams says Trump re-election was not a 'seismic shift' or 'landslide'. If the Democrats had won the house senate electoral college and popular vote she would say it was a big deal. https://t.co/reAXZyzmOa;Descendant8313;
@PaulBnuts @WallStreetApes Did Trump stop them the first time?;GringoSuave84;
@Dolan_J_Trump Nah January was different. This was great too tho!;HeardNavarre;
@CheshireMatters @David__Osland Trump is Spot On!! London is ruined!!;jryan60868798;
@Limitless_LT @AshurRig @GeneralMCNews @elonmusk Trump has always hired them;sodbuster505;
@Timcast I wanna believe in Elon. I wanna believe in Trump. But at the end of the day tyranny will always prevail unless we are diligent. @elonmusk I ve seen many accounts banned and losing their privileges on X because they re shitposting about things yo;guitargemini7;
@george_ludgate @TacoforFive1 @atensnut We See Things More Clearly You. Forced. People. In. Camps. Your opinions on America is irrelevant. Id be angry if trump won too if i relied on the tit of the US. Now go do your job and cut the bushes around Pine Gap;VenusBiden;
I honestly am starting to see why that guy tried to kill trump and wish he succeeded (FBI don't come for me just an opinion);BennyBoozu;
@realDonaldTrump Trump s statements and nominations were almost negatively correlated with his campaign promises;AhmedJY10;
@CalltoActivism THE false prophet Trump has his own fake two dollar Bill;MarkMassaro15;
@ElijahSchaffer Johnson is probably rolling on his belly promising Trump that he will play ball. Johnson is just another traitor in waiting that'll find any excuse to side with the liberals to betray maga.;Father_Speaking;
@don_winstel @DerrickEvans4WV Trump endorsed Johnson yesterday.;Jenny_IDLYITW;
@marvinmusk No not at all .Just don t any one including yourself weaken your relationship with Trump .You will need to walk quiet and carry a big stick;Sa44094Saleem;
@MikeLevin Congressman Mike sir don't let them Trump-proof California. That is the most ridiculous thing. We want Donald Trump's policies here. Don't get in his way.;realBrianKorn;
@DisavowTrump20 RFK would be more aligned with Pres. Trump than modern day Dems.;MCYRider;
@RobertGauss5 @Scaramucci Elonia wants to get his greedy little hands on the SS trust fund.;mgn53;
Trump ally Laura Loomer on Musk: 'Nobody wants to cross this guy'- It sounds like people are scared of crossing the king the king of the world Elon Musk the monarch Loomer told longtime conservative broadcaster &amp;;
Folks who told me Trump and Reform would fail Starmer was good for the UK( not the most unpopular PM ever) that Europe wasn't shifting to the right and the EU wasn't in decline. You listened to your msm church and were fooled like you were over Net Zero. HNY.;Marc_Jardiner;
@boston25 That's Trump's payback;BATCOPvsGOTHAM;
Start showing the Public who the Rinos are that wont cut the budget and not supporting the Trump agenda . No more pet Pork in any State . No Dept of Education . No EPA or EPA Mandates No Green BS .;OrionGarrett;
@thelastmesssiah @clashreport Straight up pimp gamgsta. Thanks for the compliment;SalsaTrump;
Stacey Abrams says Trump re-election was not a 'seismic shift' or 'landslide' https://t.co/LX2oj9o354;mike54371842;
@LynnHall268 @rickr1634 Following;Gimpa4Trump;
@YouTube knowing Trump is coming in i'd rather be aware of all situations with plenty of sleep than misinformed and delirious.;phoozball;
@MAGAVoice @daisy_rob01 The house members on my opinion are nothing more than lip service to the American 🇺🇸 people. Hope their tone will change when President Trump takes office ️🇺🇸.;AlaNifo;
@elonmusk Trump never stops whining about others and never misses a chance to toot his own horn. It s gets fatiguing.;SLB4618;
@Liberty_Memes I'm a loser;twin0830us;
BREAKING: Trump endorsed Speaker Mike Johnson plans to make sure the next election will REQUIRE PROOF of U.S. Citizenship to vote! It's about time. https://t.co/bfasWD8hMl;RonTit4tat3;
@catturd2 I'm Sick of these evil demons! ;TrumpPatriotUS1;
@Azazel042022 @cenkuygur I've said this about trump I will be intellectually honest here this means nothing. Presidents and 1st ladies and popular people take pics with other popular people. At the time of these photos it was nothing. Dear lord Rosalynn d;chuckdawg95;
I'm starting to think last week s H1B psyop didn t come from the left like some have suggested but from within the GOP. Just think about it... Who stands to benefit the most from a Trump/Elon fallout especially after the pork-filled CR bill was dramatically crushed by the;HANKonX;
@nicksortor Getting crazy at the border needs a quick fix solution. Tren de Aragua gang members are rushing the Texas border and attacking Border Patrol agents with knives tire irons and broken bottles before Trump takes office . According to The New York;TheRealGRoberts;
Trump ran on the debt the US is in but apparently we can afford to take over and run the Panama Canal we can afford to buy Greenland and take over Canada. I don't want to hear from @HouseGOP nor @SenateGOP about government spending out of control ever!!;JackieHunt812;
Simple IQ question. Yes there s a right answer. Who will be remembered by history as a more consequential figure: Trump or Musk? @MikeRathbone86 @districtai @jmcarpenter_;prometheus233;
@Resisting313392 Never have and Never will vote for Mr Trump;syloliver;
@trumprealparody yes--I remind everyone how right President Trump has been!;JennieM84898563;
Irony dies a s l o w death. Trump#45's health investigation is overdue &amp;;
@Michell33650674 Ya what will happen to this twitter account when Trump takes office officially? And of course Biden makes it even worse $2.5B to Ukraine;OnyxG12441;
I didn''t know Donald Trump used campaign donations to pay off pornstar Stormy Daniels he engaged in sex with because she reminded him of his daughter. New York CONVICTED Trump for this. How could he even have been legally qualified to run for office after this? https://t.co/2D4H51bjXR;luckey_twitt;
@THEMightlyMouse @kevinolearytv Bugger off Trump is the great politician that we need. The parliament system needs to be retired. Have you even watched parliament in session? It s a f n joke!;BinnsAngie72;
@AesPolitics1 That BS doesn t matter AES what matters is Trump won the presidency and will take office in a few weeks then we ll see what he does.;OohYaBaba;
Trump Ally Warns Sanctuary Cities of Violating Federal Law | https://t.co/gQRqkCb6Fg Obedience to the law is demanded as a right;;
@BingeWars @thenate36 @politvidchannel I voted for Trump and JD Vance as his VP. I did not vote for two billionaires who now think they can ride Trumps coat tails and do as they please and run like a bull in a china shop. They are not an official departme;nccjones83;
I don't want to apology I don't want anything from the mainstream entertainers They're scribblers there is no longer any real journalism. For that you have to go to X for real &amp;;
@EndWokeness Things are already looking so much better and Trump hasn't even begun.;cjt4837;
Trump should insure that Kennedy gets confirmed. If he doesn t I m blaming Trump.;DanEddBland;
@DonaldJTrumpJr Happy Birthday Don. Have you have a fun night. Cheers;TJberetta;
Trump administration accepts Texas' offer to lease land on the Texas-Mexico border for deportation efforts https://t.co/8vqE88roO0;farsideacres99;
@TheFigen_ Trump might suggest that Australia be the 52nd state after Canada. Countries must hide what distinguishes them from others so that traders and American Zionists do not covet them.;ATueb2014;
@TheQuartering Joe Biden the last four years trying to be a leader: There s a problem to every solution. We can do this! Trump: We are going to win so much you re going to get sick of winning. Happy New Year everyone. Let s go 2025!;luke75410;
@LivePDDave1 Well I think that s a little harsh. She does have her moments but she definitely hates Donald Trump and I wish they would take her off of the 5 and put Harold on permanently.;jean_davis62987;
@perinejennifer5 @memequeenkimmy @basil_ireton @MoMothra54 @OfRight1776 @Caperloo5 @FriendsOfJoe33 @realAnthonyHogg @Supersi48617376 @Eilis654279 @SwampDrainDC @brisco_0317 @KsLiberal @scottstocker4 @8BrianVogel4 @Synyster63 @Karlton111 @TheColonel8275 @F;PembrokeMeg;
@AesPolitics1 Do you really not know who the President is? Trump can't make any moves until noon Eastern time on January 20.... THAT is when you can see what Russia does with negotiation. Until then it's just sand blowing.;MarkMcHughWY;
Donald J Trump 2028 instead of four years Let s do eight. Who s with me ? Long as the man doing a great job let s keep him .;DaBayou335;
@KatAMiller10 @momvogt1 @BettyBoop8209 @TreatHunterDog @UndeC08 @SecularSmurf @AggressiveDem @scottstocker4 @OsingaPeter @RossGilroy @MDoane5 @EFJ1980 @zypisfy @MrUltraMarin @IZMKS44 @terrymbs2 @johnhume365 @America1Eagle1 @L331024 @kali8989 @CrisAttucks7;JPopiden55707;
@jjsauby Read the tweet again. Obviously this will change in a few weeks. But as of today Donald Trump is our oldest *former* president. Not making anything other than a statement of fact.;DougRussell;
LANDSLIDE! MASSIVE MANDATE: Jake Tapper STUNNED when he learns that Kamala Harris lost ground in every county in the Nation on Biden's results. Trump gained on the Democrats in every county in the Nation. Think about that happening in Blue States too. https://t.co/5E0wuPRnTj https://t.co/VlaR4OVkqa;reardongalt;
TRUMP ELON VIVEK &amp;;
@LoveMyGrands8 @DefiyantlyFree Obama's did the same shit. For crying out loud they spied on Trump!;totalimmunity;
@Donaldtrumpike Yes I Do Support Elon and Trump https://t.co/kWvy0iAL2K;BloxTanqr;
@joncoopertweets apologies as a Scot I m confused: Trump is barred from office by your 14th amendment why is he even in the picture like?:);huck_66;
@Genflag @ConceptualJames @JackPosobiec Fact is that Nazism itself was born out of Weimar conditions exactly like we've been seeing. It comes to prominence as a reaction to the extremes of the other side and valid discussions of real issues come from it. ;veryvirology;
@RealAlexJones So what can be done about this? Can Trump shut all the labs down? #zelena;mfeehan5;
@essenviews tRump hates it!! My bet is Elon loves it!!;ValLabelle1;
MAGA just won the American right its largest electoral victory since 1988...the only people who are trying to destroy it are pseudointellectual lunatics like this loser who claim it's woke to put Americans first or something. It's ironic because Trump's win was in part yet;RedEaglePatriot;
@wiley_inc @GovTimWalz WTF are you smoking?;ShannonLancer;
Experts warn Trump s plan to name cartels terrorists could open door to military operations in Mexico https://t.co/kymsTwMcO7;matilda_w_;
@TheCalvinCooli1 Just another Freedom Caucus anti-Trump DeSantis fan boy fraud.;tdn451;
@JockoWind @ItsFullOfFellas @UPP_Polls You voted for Trump Give me a fucking break Trump is the poster boy for the brave new world order of oligarch's technocratic network states Out of touch with reality;JDRedding;
@BrianGo50669876 @RpsAgainstTrump Trump still owes him money;X_SUCKS_ASS_X;
@GeneralMCNews That is what. You Trump supporters get this why I vote libertarian enough is enough;Gregterry11;
@TRUMP_ARMY_ Yes. Know it is a HOAX. NO GUESSING ABOUT THAT!;DanaPettigrew56;
@PBDsPodcast Home with my sons praying 2025 is better and God protects Trump and the USA;Kimze317813;
In all the 2024 year-end round-ups I ve yet to see one mention of the idiot who set himself ablaze in front of the courthouse during the Trump hush money trial in April. https://t.co/UFEbsHjU0q;ShuveeIL;
@Brick_Suit Thanks Brick you know how much you meme to us bro. Still salty we didn t get a chance to meet at the now legendary MSG Trump rally Happy New Year bro!;TheRicanMemes;
@MonicaCrowley Let's see what Trump ends up doing.;paulkeres155;
@pie247937 @1Kdolo @Vital_Vibration You do realize Trump has never drank alcohol Never smoked and has Never done drugs. Fairly certain no one s gonna invite Trump to a freak off Tia. U know what bothers me. U embrace the very people who r responsible 4 th;;
@TorontoStar Cry harder. Trudeau insulted Trump for 4 years. https://t.co/joOGiSLEzk;zeldacanuck;
Support Mike Johnson for Congress. THANK GOD 2024 IS OVER. JANUARY TOMORROW. PLEASE GOD CONTROL THE LIBERALS GET PRESIDENT TRUMP IN OFFICE SO WE CAN LEAN ON HIM AND YOU. 🇺🇸 AMERICA 🇺🇸 IS A MESS https://t.co/Rkl06Kw6kY;yaya0228mom;
Thanks and it s my pleasure.;trump_dona1213;
SHOULD GENERAL MILLEY BE PROSECUTED? PLEASE ANSWER BELOW The guy who went behind Donald Trump s back and called China to warn them about him without his permission. Generals who openly brag about their sedition and treason should be prosecuted. General Milley never thought https://t.co/P1iweYRmaw;JDunlap1974;
@lavern_spicer We voted for change and feels like we're getting more of the same. But I get it and will trust that Trump will get him in line.;77Crowbar;
That's why we should place our trust in Trump. Right now he's the only one who can save our free speech republic. I hope I'm not wrong. I placed my trust in 2016 Trump. I didn't vote for anyone else.;redbetblue2;
@realTrumpNewsX Don't betray or deceive American citizens. We believe in You Mr. President Trump.;J231614404;
@Jenny_IDLYITW @DerrickEvans4WV Trump didn t pick Johnson. House republicans did.;don_winstel;
@Sassafrass_84 yes. I'm a conservative account and Trump maga. I don't have the ambition to be a large account with many followers my purpose is to interact with other people. but I'm always losing followers for example in the past 3 days I've lost over 2;FlaPatty_R;
@popstarr65 Ummm what in the fresh hell???;TrumpTrump1111;
@lavern_spicer By the way Trump only won by a 1.5% margin -- one of the slimmest in a century. Never forget that.;JohnDMariana1;
@GuntherEagleman For real if Thune Graham Ernst tried to impede Trump s agenda as much as this guy we d primary them into oblivion. But since it s principled and people only care about pretty grandstanding to make Trump look bad it s allowed. Chip only ca;RachelAnth78911;
Leave mother nature alone!;legaldawn;
@pmurphey47 @RMConservative Conservatives don't unite with liberals to move the country further left. Trump is the left. Trump is the democrats. His record proves it. It's time to wake up.;SalMoanella1;
@Rational119 @EricLDaugh Nothing wrong with Elon spending time with Trump. IMHO you are trying to stir up negativity.;Turningoftheti1;
@EmmaVigeland W Trump;DailyBreakfast3;
Chris Cuomo Says He Felt Satisfaction Over Harris Loss After Lefties Downplayed Trump Assassination Attempt #TCOT https://t.co/XYxSNTfytD;compuchris;
@gloyperr @bjc144 @Suresh1m @bstradingaf @immigrationgirl @GavinWax Dont get your panties in a bunch. Trump is going to take over in 20 days ask him to ban all H1B for indians. problem solved crying here wont get you anywhere.;prashant1208;
@ULTRA_MAJESTY @hellothere1025 Tbh and to give Trump the benefit of the doubt his retweet of Elon s tweet imo wasn t endorsing future HB1. I think people got emotional and it was framed in an unfair manner. Just a hunch. Trump seems to be vague and being ;khavvus;
@BasedMikeLee Not at all offended because President Biden is acting like the children hiding behind him. I am looking forward to another Trump administration! Not a lot to dampen my spirits or attitude with that on it's way!;DSmyth911USA;
@RyanAFournier Trump is the best;CashLorenShow;
@Crazymoments01 @AMAZlNGNATURE This is how men lose their handys.;MozartsTrump;
@FotosDeFatos Trump!;Valente352696;
Trump Chooses Johnsonville | ZeroHedge https://t.co/rgY1Dig7mu via @getongab;KeecoWang;
@elonmusk The world knows better. Donald Trump is a Russian asset insurrectionist and CANNOT hold office. Amendment 14 section 3. https://t.co/2KbMAL2K4y;theewarrant;
@OneNoleFamily @TheUfoJoe @g_knapp @JeremyCorbell @SilvaRecord @PostDisclosure @jimmykimmel lol. If Trump went to that island you d know by now.;clydeslimeball;
KJCT reporter Ja-Ronn Alex who is a Pacific Islander told investigators he was out in the field when a taxi started following him. Are you even a U.S. Citizen? Patrick Thomas Egan allegedly shouted before strangling him. This is Trump's America now! https://t.co/Yk5Zpm1mlO;NECN;
@KaitMarieox While the pursuit of exceptional talent is important it doesn t mean that companies need to fill many of their jobs with foreign workers just because they can work for less. Things are about to change when President Trump takes the reins !!!;WORLDLYWISE45;
@stonkguy4 @SaltyGirl09 You already had four years of Trump. How did you not see this coming?;MarxNotNarcs;
Trump is the swamp they said they want to drain... but he's also the racist they are deep down in places they don't want anyone to know about;Laughin_Man;
@Will_Bunch NY POST: source at Philly Inquirer reports Will Bunch a far leftwing DNC propagandist posing as a reporter said I don t give a flying F Trump didn t do shit on J6 we still have to say he did just like Fn Russiagate lol. We must resist this MFr;;
@novictim01 They knew. I mean they all had to know. Fools was the nicest word I could come up with. They all made the choice to perpetuate the lie because they thought Trump would never be president again. Now they are scared shitless!;HughBerenger;
Supreme Court Chief Justice says judicial independence under threat as Trump return looms https://t.co/81JL8ncWiq;StenRHelland;
Occupy Democrats announces that its new YouTube channel dedicated solely to exposing the criminality of President-elect Trump Elon Musk &amp;;
@Pinko69420 Trump Won ;yonn565;
@MyronGainesX @FreshandFitPod It was never free speech. You were all warned to do a protest vote against Trump &amp;;
I AGREE 100% President Trump SHOULD have his Inauguration at Mar-a-Lago! 🇺🇸🇺🇸🇺🇸🇺🇸Repost if you Agree!;Gr8fulSusan;
@FoxNews All to be wiped away when Trump is in.;PRowan131;
For constitutional attorneys like Mark Levin: Can Trump after taking the oath of office on 1/20/25 declare Martial Law and federalize local and state law enforcement to join the Feds in the mass deportation effort? This would remove the police from the control of the sanctuary;skrincosky1120;
@asbell_tony Am I crazy or during the election didn't Trump talk about doing this?;shanemikel11;
@TRUMP_ARMY_ No climate change has been happening for 5 billion years! Scammers just recently 🇨🇦;TonyPreston1225;
@libsoftiktok Trump surviving a bullet in Butler PA with his fist up Fight! God s deliverance and Trumps resilience!;ustonettr;
Trump plan 'would provide legal framework' for unilateral attacks in Mexico: expert https://t.co/TmEBxUSpfh #FAFO #MexicoWillDeclareWarOnUSA #ClaudiaSheinbaum #Mexico;moralesmanny;
@bluhue123 Lies lies lies ! They probably haunt him at night but he just keeps lying . How cruel and heartless can one person be ? Trump is a monster ;LouLou90403404;
@MyronGainesX Dude think in 4D chess. What is going on right now behind the scenes with Trump and Elon? Trump is negotiating with Netanyahu to end the war in Gaza. I bet Netanyahu told Trump he needs to make Elon silence his enemies on X. And that s exact;ClairvoyantBTC;
@TheRoot57252511 @SpareBostonian No chance he loses by that little in a Trump midterm;Vedthalegend;
@AbrahamHamadeh The elections are fair for both parties...you drank the Trump Koolaid Notice Harris is not moaning and groaning about a stolen election and Trump cannot stop bragging;jamespa00984547;
@JayVTheGreat If Donald Trump didn t do anything in his power to take care of the people keeping us from someone turning us in a globalist he wouldn t never win the election. There is no way anyone is going to tell him what to do if they want to read a bo;NEVERBOW;
@glenn_tunes NYT lies are legendary especially the ones demeaning Trump.;801bermuda;
@CollinRugg Anyone else think if Trump opposed Mike Johnson that Chip here would fully support him?;JayDee8675309;
@DerenicByrd Exhibit B would be when Trump deregulated the industry so they could all have their maintenance done in Mexico;BryentTroxel;
Republicans have never been true Christians according to the Bible you can even choose to use the Bible that Trump holds upside down like an idiot;Youtalkingtume;
@nikitheblogger Trump Musk;UlrikeJ95724231;
@RpsAgainstTrump Some sick part of my soul really wants Trump to start WW3 just so he taste the consequences.;damiandziedzi16;
@joncoopertweets Happy @realDonaldTrump supporter here... Don't care. I'd rather have a half staff flag flying over the Trump White House than over a ding bat @KamalaHarris House any day of the week and twice on Sundays. #MAGA We won Jon! Enjoy your petty;KidPaveloi;
@anthonyzenkus Oh bullshit. As if any of you clowns give a shit about this. If it were trump in office you would be singing Israel s praises. Just another excuse to vilify people on the opposite political side.;ChadVarney4;
#Trump2025: Bold Promises for a Stronger America #usa #NewYear2025 #America #Trump #MAGA https://t.co/GKFMLdxRG4;intell_Observer;
@DonnaNeedham10 Hopefully;PamelaL98281927;
@IanJaeger29 Trump will be a Leader of an autocracy;;
@Elongetsit @DecodingFoxNews American farmers are the biggest losers in Trump s unnecessary trade war https://t.co/7hQzmv84nh;mrmikebones;
@RpsAgainstTrump I hate Trump. From what you have written I think you and most democrats never learn.;BenLee0538;
@Niknakgirl23 And all it took was electing Trump. How about that.;Hammerheads1994;
@accordingtowoz @BADBOB62 Following;Gimpa4Trump;
The left keeps warning us that Trump will be a dictator meanwhile they are forcing him to become one.;Paultalk44;
@Crazymoments01 @realDonaldTrump A DRAIN OF THE SWAMP ! What ameeica voted for God save america - thank you Americans for voting in trump n his team. ;Ishehome1;
Nobody is going trust a X payment system anymore. Perhaps only Trump.;GeopoliticsW;
@Clarity_UnWoke @DawnAnd91320913 @SaltyGirl09 It still is. Exhaust skilled Americans first then consider foreign workers second. I m just afraid we re really limited on the skilled Americans part. I think Trump is too.;TRae764357;
Attn: Trump didn t invent his dance exactly. Look up Love Actually PM dance on YouTube to see Hugh Grant boogeying down to Jump by The Pointer Sisters. @NBSaphierMD @KennedyNation @CharlesHurt @KatiePavlich @tomshillue I ll try to send the link in my next post. ;MERTeague;
@quesadaaa_ Not to exclude Donald Trump.;arborliberatas;
Stacey Abrams says Trump's election not a 'landslide' or a 'seismic shift' https://t.co/atvVSOiXH1 If anyone believes anything this woman says well you are subject to believe anything. She is a liar just like her father the devil is.;C__G_22;
Here s hoping they ll have free wi-fi at the Trump Camps next year. Keep the reviews &amp;;
@Keir_Starmer Happy new year enjoy your new mates trump le pen far right in Germany come feb;pwgasservice;
@realDonaldTrump @elonmusk I stand with You Sir. President Trump and thank you for protecting and defending America 🇺🇸 . https://t.co/r3uuzzS7zC;ChrisLaRose11;
@marvinmusk Exposing the truth isn t executive decision making. They just want a wedge between you and Trump.;MicheleC77826;
@karen_winegal @IvankaNews_ Or is he related to judge Bragg NY that was going after Trump?;KnipLs;
@politvidchannel So that s the purpose and identity of democrats. It s not taxes or balancing the budget or peace etc. It s hate Trump stop Trump Trump Trump Trump rent free. It s why they lost it s why they ll continue to lose and it will be the root of ;__DAVE__2020;
@KarluskaP Yes. It s been exhausting. Ready for a new dawn. Ready for Trump 2025.;srhodes009;
@SUBRATA30016572 Happy New Year President and Frist Lady Trump EEUU;probasic69;
@ChiefTrumpster Right because Trump said skilled immigration is fine;SebastianR11819;
@GuntherEagleman The economy during Carter s term was soooo bad it makes Biden s economy look like a Trump economy.;DavidGoodwinJr4;
@Synsidar @aaronjmate Presidential campaigns have always had contact with foreign nations. Russiagate s original hypothesis was that Trump was a Russian asset. Democrats 5th or 6th new fallback position has become I told you they shared some campaign info;ElRalphing;
Looks like Trump got rid of Elon but he certainly didn't go very far. Elon wants to keep his eyes on the boy he bought. ⬇️ https://t.co/W17FtdDHR6;ClesterRebecca;
@alx Always negative with these phonies. Pepe is ALT right? That's old news and has been debunked. GTFO! I can't wait unit Kekius Maximus finally put these propagandizers out of business. I Thank god for Elon and Trump. Finally our county is going to get ;RonaldChainsaw;
