full_text;username
Jika Indonesia sudah pindah ke ibu kota Nusantara maka mewacanakan satu zona waktu. Karena mengikuti posisi waktu IKN di waktu Indonesia bagian tengah. Jadi Indonesian Standard Time (IST). https://t.co/IRpNQI3wni;Wiligis_W11
Pembangunan yang terus dilakukan di wilayah Ibu Kota Nusantara (IKN) menyebabkan kebutuhan tanah yang meningkat. https://t.co/kHAbtaapCW;kantahkotsabang
Persembahan spesial untuk Indonesia! Saksikan Ibu Kota Nusantara (IKN) - Official Music Video lagu penuh semangat yang menggambarkan harapan baru di jantung negeri. Tonton sekarang! 🇮🇩 #IKN #MusikIndonesia https://t.co/rWVY4dHam0;EsterKandar
Otorita Ibu Kota Nusantara (OIKN) mengungkapkan Istana Garuda dan Jalan Tol Akses IKN diusulkan oleh Menteri Pekerjaan Umum (PU) Dody Hanggodo untuk diresmikan oleh Presiden Prabowo Subianto pada 2025. https://t.co/gO5EOnvYqa;antaranews
@DedynurPalakka JOKOWI LAGI NGENTOT SAMA IRIANA DI DEPAN IBU KOTA NUSANTARA;brows24077
@kapal_lawdd ibu kota nusantara;perkarasipil
TNI Angkatan Udara (TNI AU) bakal memperkuat sistem pertahanan udara di Ibu Kota Nusantara (IKN) dengan menghadirkan artileri pertahanan udara (arhanud) yakni rudal jenis baru. | #TNIAU #Rudal #IKN https://t.co/foQZsgWBgY;kompascom
 Ibu Kota Nusantara (IKN) - Official Music Video Nikmati harmoni budaya &amp;
Ibu Kota Nusantara (IKN) jadi primadona wisata selama libur Natal dan Tahun Baru 2024-2025! #IKN #IbuKotaNusantara #WisataIKN #LiburNataru #MasaDepanIndonesia #IKNDestinasiWisata #IKN2024 #PesonaKalimantan #IndonesiaMaju #VisitIKN #Ayobacanews https://t.co/5OJztXKrOa;ayobacanews
Taman Safari dan Investor Theme Park Siap Masuk Ibu Kota Nusantara https://t.co/yo30el1dzL;pradanaMedia
Ibu Kota Nusantara (IKN) kini menjadi primadona wisata terutama selama libur Natal dan Tahun Baru 2024-2025. Peningkatan jumlah wisatawan yang datang ke Kalimantan Timur terlihat drastis dengan pengunjung yang memadati rest area IKN di Sepaku Kabupaten Penajam Paser Utara. https://t.co/A3XQTSsALV;Beritasatu
@_bsutanto @DokterTifa @prabowo isep aj broh yaman suka kayanya;Nusantara2025
Kepala Otorita Ibu Kota Nusantara (IKN) Basuki Hadimuljono bicara tentang minat investor yang akan segera masuk ke IKN. https://t.co/KUxED5nhrk;detikfinance
Memasuki awal tahun 2025 rencananya akan dilangsungkan prosesi peletakan batu pertama atau groundbreaking di Ibu Kota Nusantara (IKN). https://t.co/NxWdZRCvpy;detikfinance
Kaleidoskop 2024 Dalam Negeri IKN (Ibu Kota Nusantara) di Kalimantan Timur masih sorotan utama. Perkiraan habiskan anggaran Rp466 triliun. Sampai saat ini sdh habiskan anggaran Rp140 7 triliun. Semula diinfokan ke publik anggarannya bersumber dari swasta. Faktanya dari APBN https://t.co/WqsaHS774R;musniumar_
Mimin mau spill ke kalian nihh progress Traning Centre PSSI di Ibu Kota Nusantara - Kalimantan Timur! #ADHIIKN #PSSIIKN #ADHIIKNTrainingCentre https://t.co/7iMJtRJLv9;electrizen_trk
PLN berhasil merampungkan 3 (tiga) infrastruktur bertegangan tinggi untuk menopang sistem kelistrikan Ibu Kota Negara (IKN) Nusantara. Ketiga infrastruktur dengan realisasi Tingkat Komponen Dalam Negeri sebesar 67 29%. #PLNHUBIKN #PLNSukseskanIKN https://t.co/dMVdttY1yp;electrizen_trk
Rusun ASN di Ibu Kota Nusantara Hampir Selesai Dukung Pemerintahan Modern di Kalimantan Timur! https://t.co/2vvr7ZIEeX;beritatrencom
Infrastruktur di IKN Halo #SobatBUMN! Sinergi PT Wijaya Karya (Persero) Tbk (WIKA) dengan BUMN Karya salurkan bantuan Pendidikan di Ibu Kota Nusantara (IKN) mulai dari beasiswa sarana dan prasarana sekolah serta memajukan infrastruktur di IKN pada Jumat (4/10/2024).;bjkterpercaya1
Otoritas Ibu Kota Nusantara (OIKN) menjelaskan bahwa kereta tanpa rel atau Autonomous Rail Transit (ART) yang diproduksi China Railway Rolling Stock Corporation (CRRC) akan dikembalikan. https://t.co/qldk2ly0QM;JavanicaPost
@Bambangc5563 Betul. Selama belum layak jadi ibu kota dan lengkap sarana pemerintahannya jangan grusa grusu teken keppres. Kalau ada aktivitas negara nanti cost nya mahal sebab harus wara wiri Jakarta - Nusantara;Kimberley_PS08
Investasi RRT di Indonesia tentu tidak hanya dana tapi biasanya ada 'ikutannya'. |China Jadi Salah Satu Investor Utama Proyek Ibu Kota Nusantara https://t.co/6qlDEOzJLH;Dogelkarya76_82
@iEarthne Ibu kota nusantara;mkleemineral
@DokterTifa @prabowo itu org atau bij anj;Nusantara2025
Berapakah kebocoran anggaran negara yg dikorupsi di IKN.....Kementerian Pekerjaan Umum Ungkapkan Pembangunan Ibu Kota Nusantara atau IKN di Kalimantan Timur telah Capai Kemajuan Signifikan Simak! https://t.co/wHp9ekC5p2;agungtriat53466
Pemindahan Ibu Kota ke IKN Nusantara Kebutuhan Pemerataan Pembangunan. https://t.co/bKYyRYoNq7;LesterFarhan
Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IndonesiaEmas2045 #SmartCity #KotaModern #IndonesiaMaju #KotaMasaDepan #PembangunanIKN https://t.co/Ig9kViy1qJ;orangalimbanget
Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern https://t.co/vQgDr5xrcs;orangalimbanget
Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern https://t.co/jaioSVetVT;orangalimbanget
Menteri Koordinator Infrastruktur dan Pembangunan Kewilayahan Agus Harimurti Yudhoyono (AHY) mengungkapkan arahan Presiden Prabowo Subianto terkait pembangunan Ibu Kota Nusantara (IKN). #IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern https://t.co/QQPDBdbEWP;orangalimbanget
@ramaArsy1 kbnykan drama juga lama2 boring;Nusantara2025
Pemindahan Ibu Kota ke IKN Nusantara Kebutuhan Pemerataan Pembangunan https://t.co/sYIIAha5IU;PesonaNegeriku2
Warisan Presiden RI ke-7 Jokowi kini mulai berbuah manis. Salah satunya progres pembangunan mega proyek Ibu Kota Nusantara (IKN) Tahap 1 per 13 Desember 2024 telah mencapai 96 persen atau nyaris rampung. https://t.co/gCGd9W0dop;bengkeldodo
Ibu Kota Nusantara Kalimantan Timur (2022) https://t.co/ME8RzNN1oL;PrabuAtmadja
#FOTO Rumah susun ASN di Ibu Kota Nusantara hampir rampung dibangun. Bangunannya terlihat modern dan fungsional. Simak potret lengkapnya di sini. &gt;
Pemindahan Ibu Kota Ke IKN Nusantara Kebutuhan Pemerataan Pembangunan https://t.co/Xca1W3Ki1w;LesterFarhan
Desember part 3 Mumpung ke Balikpapan sekalian mampir ke Ibu Kota Nusantara 2 jam dari Bpp tapi MasyaAllah jalannya menyusuri hutan tropis kalimantan yang lgi hujan makanya berkabut. Ditambah supir bis yg sangat ahli jalan nya liuk2. https://t.co/dvQFIan1So;itsmerahayu_
Menyambut libur Natal dan Tahun Baru (Nataru) Otorita Ibu Kota Nusantara (IKN) memastikan kesiapan infrastruktur dan layanan guna menyambut antusiasme masyarakat yang ingin berkunjung ke Kawasan Inti Pusat Pemerintahan (KIPP) IKN. https://t.co/l0rc1QzfV1;beritalternatif
*Satgas Ops Nusantara Mahakam Intensifkan Patroli Rutin Guna Jaga Kondusivitas di Kawasan Pembangunan IKN* https://t.co/uQfYVHrjmn Sepaku Personel Satgas Operasi Nusantara Mahakam Polda Kaltim terus meningkatkan patroli keamanan di area pembangunan Ibu Kota Negara (IKN) baru. https://t.co/k0XRCOurVg;sdmresmahulu
Kabar Gembira Telah Terbit! Prosiding Seminar Nasional Geomatika VII 2024 (ISSN: 2614-7211) kini tersedia! Dengan tema 'Informasi Geospasial untuk Ibu Kota Nusantara' Unduh sekarang melalui tautan: https://t.co/rmpQgHsGrN Terima kasih atas partisipasi Bapak/Ibu dalam https://t.co/Km5gssKovN;InfoGeospasial
@mohmahfudmd Semoga menjadi berkah bagi Kedamaian Nusantara ... Bukan berkah buat Ibu kota Nusantara ya !!! Dari dulu aku nunggu kapan Rizieq Shihab cs mau ucapkan selamat natal kpd umat Nasrani ??? Apa nunggu jd Mentri dulu kali ;MahadewaDharne
🇯🇵: ibu kota Indonesia yang baru tuh Nusantara ya? : hah kok Nusantara jakarta lah Setelah search di google ternyata IKN (Ibu Kota Nusantara) Ku lupa singkatan dari IKN itu. Akibat kurang pengetahuan sama negara sendiri jadi malu kan. orang luar lebih tau Indonesia ;wrrdhnaa
Kementerian Pekerjaan Umum (PU) akan melakukan pemasangan jembatan bailey di jalan nasional menuju Ibu Kota Nusantara atau IKN yakni Ruas Jalan Nasional Semoi Dua-Km 38 Samboja yang mengalami kerusakan akibat curah hujan tinggi. https://t.co/lTQyN8pGn3;antaranews
Adapun Konoha II menampilkan kantor Ibu Kota Nusantara yang di depannya terdapat dua orang sedang bertelanjang. Di bawahnya ada sekumpulan orang yang sedang menjilat pantat salah satu orang tersebut. Sementara sekelompok petani tampak menunjukkan aksi protes.;_gregetan
Ibu Kota Nusantara Komitmen Pembangunan IKN Sebagai Kota Hijau https://t.co/hUgP4EFpdB;LesterFarhan
Pemindahan Ibu Kota Ke IKN Nusantara Kebutuhan Pemerataan Pembangunan https://t.co/1mFrgdtcAe;LesterFarhan
Ibu Kota Nusantara Komitmen Pembangunan IKN Sebagai Kota Hijau https://t.co/Vz1viZ54SJ;allegory1318
Ibu Kota Nusantara adalah investasi untuk masa depan yang lebih merata #IKN #IKNNusantara #Nusantara https://t.co/S2e0bXNib4;LesterFarhan
Ibu Kota Nusantara adalah investasi untuk masa depan yang lebih merata #IKN #IKNNusantara #Nusantara https://t.co/5dPQzxNhVt;kellytiemikino
Ibu Kota Nusantara adalah investasi untuk masa depan yang lebih merata #IKN #IKNNusantara #Nusantara https://t.co/nYwV5D4mxJ;kellytiemikino
Sedang IKN adalah Ibu Kota Nusantara ! Pinter juga ya bapak ini https://t.co/3pwxVUT8go;Penyair_Berdiri
@hnirankara emang tinja (hatinya jahat) tu mul02;Nusantara2025
@AirinDatangLagi Lho gimana ceritanya ini kirain segera pindah ke IKN Karena Presiden Joko Widodo meresmikan Istana Garuda di Ibu Kota Nusantara (IKN) Oktober 2024 lalu.;AqiaqiH
 IKN: Simbol Pembangunan Ramah Lingkungan Presiden Prabowo menegaskan bahwa pembangunan Ibu Kota Nusantara (IKN) akan memprioritaskan prinsip ramah lingkungan. #IKNRamahLingkungan #PembangunanBerkelanjutan #IndonesiaMaju #GreenCity https://t.co/HULPYcZ1Ys;Ranger_pink21
 IKN: Simbol Pembangunan Ramah Lingkungan Presiden Prabowo menegaskan bahwa pembangunan Ibu Kota Nusantara (IKN) akan memprioritaskan prinsip ramah lingkungan. #IKNRamahLingkungan #PembangunanBerkelanjutan #IndonesiaMaju #GreenCity https://t.co/cfguGk18f3;Ranger_pink21
 IKN: Simbol Pembangunan Ramah Lingkungan Presiden Prabowo menegaskan bahwa pembangunan Ibu Kota Nusantara (IKN) akan memprioritaskan prinsip ramah lingkungan. #IKNRamahLingkungan #PembangunanBerkelanjutan #IndonesiaMaju #GreenCity https://t.co/3HbHeCuUm0;Ranger_pink21
Malaysia perlu membantu Indonesia dalam proses transisi tenaga boleh baharu memandangkan pembangunan Ibu Kota Negara (IKN) Nusantara sedang pesar dibangunkan. #AWANInews #AWANI745 https://t.co/CvKL61kXw8;501Awani
Presiden Prabowo memiliki visi besar menjadikan Ibu Kota Nusantara (IKN) sebagai pusat pemerintahan yang modern lengkap dan menyeluruh. #IbuKotaNusantara #IKNMaju #PembangunanIKN #IndonesiaMasaDepan https://t.co/uyK0QTgqqn;jarotsujarot11
Dalam sesi tanya jawab antar paslon debat terakhir Pilkada DKI Jakarta 2024 Cagub nomor urut 3 Pramono Anung menyebut dirinya lebih terlibat dalam pembangunan Ibu Kota Nusantara I KN daripada Cagub nomor urut 1 Ridwan Kamil. https://t.co/ns6OyEQSsE https://t.co/mzI0gRlo1G;CNNIDdaily
 *OPEN RECRUITMENT TIM KKN PELITA NUSANTARA PERIODE II 2025* *HALO Pelinusian* *Pengen ikut KKN ke luar Jawa??* *Pengen tau lebih dalam mengenai Ibu Kota Nusantara??*️ Sudah tau kan rencana kepindahan Ibukota ke Penajam Paser Utara tepatnya di Ibu Kota https://t.co/xBU3wI77sF;UGM_FESS
@fransiskusjurin @__AnakKolong Jakarta ibu kota negara RI Kalimantan ibu kota Nusantara Ngunu yo noo..;Sigromilir01
Proses kepindahan Aparatur Sipil Negara (ASN) ke Ibu Kota Nusantara (IKN) akan berlangsung dalam dua tahap yakni pada 2025 dan 2028. #BonusDemografi #IndonesiaEmas2045 #MewarnaiIndonesia '#IKNNusantara #PemindahanASN #Infrastruktur https://t.co/oyDdKXrhHl;Faktacom_
Indonesia akan mencatat sejarah baru dengan pembangunan tol bawah laut pertama di tanah air bagian dari megaproyek Ibu Kota Negara (IKN) Nusantara. Inilah Tol Bawah Laut IKN Nusantara: Antara Ambisi Megaproyek dan Tantangan Lingkungan https://t.co/kVTTh9ApLQ;GRAHAMEDIA2023
Menteri Dalam Negeri (Mendagri) Tito Karnavian menegaskan status Jakarta saat ini masih menjadi Ibu Kota. Penegasan itu lantaran saat ini Keputusan Presiden (Keppres) terkait Ibu Kota Nusantara (IKN) belum diterbitkan oleh Presiden Prabowo Subianto. Masih di Jakarta (Ibu https://t.co/QTK9skNlN7;tvOneNews
Pemindahan ibu kota dari Jakarta ke Nusantara masih menunggu Keppres Prabowo. Jakarta tetap ibu kota hingga infrastruktur IKN siap. https://t.co/obBLYzj1Hf;detikcom
Pembangunan Ibu Kota Negara (IKN) di Kalimantan Timur mencerminkan visi jangka panjang Indonesia sebagai negara modern dan ramah lingkungan. Proyek ini menjadi simbol keberlanjutan dan kemajuan sekaligus menarik perhatian dunia terhadap potensi besar Indonesia. https://t.co/8EQDEwlp0J;NusantaraMonit
Ibu Kota Negara (IKN) dirancang sebagai kota pintar dengan infrastruktur efisien dan ramah lingkungan. Proyek ini menjadi simbol modernisasi dan keberlanjutan untuk masa depan Indonesia yang lebih hijau dan maju. #IKNKotaPintar #InfrastrukturBerkelanjutan https://t.co/7krCDVjnlC;NusantaraMonit
Pembangunan Ibu Kota Nusantara (IKN) terus menunjukkan perkembangan yang pesat dan lancar! Proyek strategis ini membuktikan keseriusan pemerintah dalam menghadirkan pusat pemerintahan baru yang modern dan berkelanjutan. #IKN #IbuKotaNusantara #IndonesiaMaju #PembangunanNasional https://t.co/flFMBgBIZ4;Ranger_pink21
Pembangunan Ibu Kota Nusantara (IKN) terus menunjukkan perkembangan yang pesat dan lancar! Proyek strategis ini membuktikan keseriusan pemerintah dalam menghadirkan pusat pemerintahan baru yang modern dan berkelanjutan. #IKN #IbuKotaNusantara #IndonesiaMaju #PembangunanNasional https://t.co/M5vsrbTF7V;Ranger_pink21
Pembangunan Ibu Kota Nusantara (IKN) terus menunjukkan perkembangan yang pesat dan lancar! Proyek strategis ini membuktikan keseriusan pemerintah dalam menghadirkan pusat pemerintahan baru yang modern dan berkelanjutan. #IKN #IbuKotaNusantara #IndonesiaMaju #PembangunanNasional https://t.co/YJsMeEXgwr;Ranger_pink21
@opposite6892 cupeti cuma pegang2 tit**;Nusantara2025
Ibu Kota Nusantara komitmen pembangunan IKN sebagai kota hijau #IKN https://t.co/wxwf5nnRqU;ezmei18
Ibu Kota Nusantara komitmen pembangunan IKN sebagai kota hijau serta ramah lingkungan dan energi #IKN #IKNNusantara #Nusantara https://t.co/jbCcBX8IlJ;kellytiemikino
Ibu Kota Nusantara komitmen pembangunan IKN sebagai kota hijau serta ramah lingkungan dan energi #IKN #IKNNusantara #Nusantara https://t.co/pcczBVBByE;kellytiemikino
